Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
Player	Deaths	Chat Count	Play Time	Join Count
	0	7	0	0
vilue	4	21	0.795	6
LegoGman	0	1	0.10472222222222222	2
Deadforfun1	1	9	0.8580555555555556	2
thelittleant11	0	0	0.035277777777777776	2
Kean_	7	241	8.837777777777777	14
feed_us_a_fetus	0	14	0.8325	2
iamheadhoncho	17	35	31.188888888888897	29
slimmBiscuits	0	1	1.6919444444444445	4
Aavarex	1	16	0.26055555555555554	4
andyjtaba	1	1	0.8991666666666667	3
WebbGamingHD	1	6	0.1561111111111111	6
mrblah1337	1	13	3.068611111111111	15
Jack_Irick	0	8	0.1622222222222222	5
jackfat09	0	0	0.0077777777777777776	2
mozartdminor	11	74	15.894444444444444	21
DANNYBOY_WCK	0	1	0.25055555555555553	3
Captain_Weasel	0	2	0.08944444444444444	2
xSiic	0	2	0.017222222222222222	2
nickkelly701	1	2	1.0594444444444444	2
Sir_melonz	0	1	0.010555555555555556	2
Philswiss97	0	2	0.10305555555555555	2
Shibbidah	22	1750	77.18861111111109	105
Johnny_Steele	0	3	0.03805555555555555	3
SuicidalHoneyBun	3	9	1.9525000000000001	3
Mcwoahs	1	1	0.3475	2
Tuckjr	2	52	0.7575	2
nipzx	2	233	39.254444444444445	21
jacksonnester	2	7	0.9191666666666667	2
jfish597	14	18	3.8377777777777777	9
Only_Possessed	0	18	5.884722222222223	5
ShinyToS	0	21	0.10722222222222223	3
TheBluritefang	0	2	0.06583333333333333	2
ryzebot	0	1	0.006388888888888889	2
ZerekZarson	0	2	0.0225	2
SCHOLF	10	55	4.579722222222222	8
_SSL_	0	5	0.22527777777777777	2
newgobby72	5	22	0.2811111111111111	4
Trulie	0	3	0.0575	2
Gouten_Nacht	0	8	0.8358333333333332	9
johnrocker237	2	1	0.16416666666666666	2
Boardchip	1	12	0.17472222222222222	2
BlazerGoN	0	0	0.0022222222222222222	2
odinwarrior	0	0	0.14722222222222223	2
narwahh	17	16	19.398888888888887	27
PPsharker	5	34	5.594166666666666	13
ilusha_gorb	0	34	0.8958333333333334	3
NSAfreemason	3	163	8.6975	13
Windows95	1	7	0.7983333333333333	2
TheCrafterGames	0	8	0.020277777777777777	2
DoomToFall	22	2024	43.95944444444445	78
Longneckturtle	7	7	19.007777777777775	17
Creepin_Behind_U	4	4	1.7763888888888888	13
JP_Jonathan	9	139	15.637500000000001	19
clokeymate	15	227	12.630833333333332	12
Ca1eB24	0	0	0.20472222222222222	2
I_IRilakkumaI_I	0	0	0	1
RoyallMonarch	1	3	0.07111111111111111	3
Livyka	0	0	0.015833333333333335	2
WillBeatz	0	47	1.4433333333333334	2
Co0pr	1	2	0.89	2
DestructCube	0	6	0.051944444444444446	4
Calanthus	0	0	0.04527777777777778	2
snoopy1435	1	30	0.7775000000000001	5
pennybaby300	10	97	10.648888888888889	37
Pineapplelover45	1	11	1.4577777777777778	2
Skylord_Duck	18	352	4.898333333333333	11
Damekn8	0	1	0.13333333333333333	2
elitemist	0	0	0.015277777777777777	2
rockyboy97	1	5	0.09555555555555556	2
Bartholome009	3	6	11.108333333333334	23
tennismaster412	0	3	0.05388888888888889	2
broncogolfer08	0	0	0	1
itZcolton	0	1	0.021944444444444444	2
BigBootyJudyy	0	12	0.5030555555555556	3
Nasaspacepro	1	5	0.17777777777777776	4
Sparky_Boy_101	1	3	0.5261111111111111	2
woopoo	9	4	1.2922222222222222	2
ThatGuyFTPigs	28	335	30.606666666666666	41
asayy	3	13	1.168611111111111	7
Munk904	4	177	4.754444444444444	18
iAmBushh	83	14	60.63972222222221	51
Lord_Diminius	0	5	0.6080555555555556	2
tylercorey	0	1	0.0075	2
Totoz999	1	0	0.08472222222222223	3
Cynu	0	1	0.009722222222222222	2
Jcwolfy	0	2	0.03388888888888889	3
Area51	0	3	0.021111111111111112	2
OhMyGoshJosh	1	1	3.0097222222222224	6
atarron	0	0	0.07361111111111111	2
IceNinja_vM	2	188	0.8413888888888889	2
hufflebecks	0	1	0.009444444444444445	2
iTzGato	2	12	1.4361111111111111	2
Iswim536	0	0	0.015277777777777777	2
GRAZO24	0	1	0.235	2
RawrDropDeadXD	5	108	2.8541666666666665	5
megahooah	1	0	0.3925	2
Shintaro99	0	61	0.43027777777777776	3
viocondios	0	2	0.24416666666666667	3
smartypants10	0	2	0.13805555555555554	2
_MightyAngus_	0	8	11.251111111111113	12
crazyboy4035	6	65	6.115833333333335	14
Dcdeath41	0	0	0.0	2
fullerthanu	3	29	0.4588888888888889	2
Gl1tch	0	80	10.280277777777776	19
Texzer	0	1	0.29388888888888887	2
Fortified_	0	1	0.2038888888888889	2
Earl_Greh	0	0	0.10416666666666667	2
maddisscc	30	132	9.515277777777778	18
NightKrowe	0	1	0.04694444444444444	2
WRD72	8	56	5.546388888888888	14
PastelTaco	24	2005	24.27083333333333	70
davidcoolman	2	3	1.5022222222222223	9
xamnesiasx	0	3	0.9752777777777777	4
semilogic	14	1144	196.20583333333337	175
samshamsam	1	12	2.364444444444445	7
aziz8	3	47	0.8252777777777778	4
ZMViper	0	0	0.021944444444444444	2
jar3datkinz167	1	31	0.6722222222222223	2
imanbeast2	1	5	0.5255555555555556	3
SxyToad	1	18	0.14444444444444443	2
kustomrotary	2	12	0.5875	2
XaiHollow	2	12	2.1283333333333334	5
FuzzeeBear	0	0	0.015277777777777777	2
frankenztien234	0	14	1.274722222222222	4
cartertanner	6	23	1.4575	5
mattsnapper55	2	20	1.4819444444444443	3
nintendo64girl	70	44	17.794999999999998	19
pop2213	2	71	0.6413888888888889	4
neothiamin	0	8	0.05416666666666667	3
johnsonjohn12	0	24	0.1361111111111111	2
Junk0	1	62	1.0594444444444444	3
Yogurt71	0	1	0.009444444444444445	2
noelle852	26	123	33.873333333333335	42
Twockunk	1	0	0.44305555555555554	3
Psyqualiaa	0	3	0.07388888888888889	3
Bleudrank	0	1	0.029444444444444443	2
Scorpion381697	21	87	3.5355555555555562	23
Edis_Jusufovic	3	9	0.5652777777777778	2
crazygorillaz97	0	15	0.4358333333333333	3
Nathan_Francis	1	4	0.09305555555555554	4
AustinHoile	0	7	0.48277777777777775	2
HALO63	0	0	0	1
BarkenWithABlock	0	5	0.18166666666666667	2
Cryptically	4	39	1.5880555555555556	7
mrstarburstman	1	6	0.02611111111111111	4
philip301	9	10	5.4591666666666665	8
aerexes	15	913	155.12916666666666	107
Onebodytomany	2	29	3.996111111111111	4
ElizaBoushie	0	25	0.6630555555555555	2
Fulmario	4	14	22.40833333333333	15
Karatee	0	0	0.09388888888888888	2
bloq_head	0	1	0.5469444444444445	3
skatergirl25	0	3	0.20944444444444446	3
xXNodorXx	0	9	0.10777777777777778	2
GiantsFan17	2	54	5.0424999999999995	7
DeeJayZombie	3	29	3.658333333333334	10
cutie9999	0	1	0.016666666666666666	2
SergeantMoose	3	116	6.208055555555557	16
Honey	0	3	0.043055555555555555	2
InjuryProne23	0	0	0.05694444444444444	2
Lepsep3	1	11	0.21055555555555555	2
humble135	2	26	2.51	6
saud4003	1	12	0.255	2
Bombg	0	2	0.03638888888888889	2
magicunicornman	27	289	29.094999999999988	79
monkeysRcute99	0	16	0.9672222222222222	2
SATINSSLAYER	7	29	4.13638888888889	15
swordslasher27	12	19	7.4541666666666675	17
cheesypuffs118	1	1	0.3169444444444444	2
Baldor2014	0	0	0.4216666666666667	2
Filthy_Frog	20	252	13.45583333333333	47
Jerbdoe	31	458	276.1252777777777	357
matthewaitken	37	4043	266.0780555555555	290
darkfighter803	0	0	0.2325	3
zlofpgu1	0	4	0.17944444444444443	2
kittens643	1	4	0.06472222222222222	2
Dragon_DLV	717	8892	474.3580555555553	335
Trevon75	0	0	0.2261111111111111	3
Rorysav	0	2	0.12555555555555556	6
amgraham	1	3	0.18166666666666667	2
AthanatosGR1	0	1	0.15416666666666667	2
Centoxis	3	54	1.3119444444444446	3
MBP2001	0	0	0.03222222222222222	2
pockets__	0	1	0.05527777777777778	2
Jadnn	0	2	0.008888888888888889	2
Aucy	0	56	3.2630555555555554	8
Shadida	0	1	0.075	2
presertim	0	1	0.05305555555555556	2
Sorrk	1	31	2.035833333333333	2
Boilerunner	0	1	0.04083333333333333	2
Dady12	0	0	0.013333333333333334	2
megatrook89	4	1683	23.291111111111107	19
sryguise	199	8382	330.9561111111111	339
mibbzz	0	7	0.23805555555555555	2
AmethystHive	0	19	0.5175	2
ProfessionalMike	0	34	0.13722222222222222	8
DobbyOnTheGo	1	4	3.158611111111111	4
Leturtleman	0	1	0.02666666666666667	2
iAddonexus	7	120	5.267777777777779	20
snesiscool	17	103	44.22083333333333	58
ninja_extreme321	0	1	0.010833333333333334	2
tousled	0	0	0.009722222222222222	3
OpsCrasher	2	15	3.683611111111111	5
mooseoh	0	4	0.07	2
Acev1400	2	9	1.6797222222222221	4
jaredec	4	14	8.36	43
dmitri23	0	2	0.10555555555555556	5
JSB23	0	2	0.009722222222222222	2
Sophia123456	0	0	0.11666666666666665	3
freddy_nightmare	0	0	0.028055555555555556	2
Creeperman8362	0	4	0.06277777777777778	2
Foxerrz	0	10	0.08555555555555555	3
supahjose	2	85	2.158333333333333	2
CryCrest	6	17	2.6758333333333333	4
Blueman3333	0	1	0.006388888888888889	2
spamyak	0	4	0.9772222222222222	4
gabbuu_	80	128	48.48027777777779	71
jtsliter426	16	78	2.3111111111111113	9
ManWithACrazyHat	27	962	214.42416666666682	465
Patstrick	0	29	0.22166666666666668	2
AmerlynMoon	0	5	0.04805555555555555	2
BroughtMyFgame	0	0	0.02861111111111111	2
Awesometron99	33	3317	32.109444444444435	54
HyPeRizeHD	0	3	0.008611111111111111	2
Jaycoo111	0	0	0.03972222222222222	2
mcvey	0	0	0	1
sirShallKewlU	0	0	0.1313888888888889	3
Shotgun2469	1	12	0.17055555555555554	6
thebeardedman98	0	0	0.030555555555555555	2
Tytus300	268	4873	257.4316666666669	650
Blazetheph03n1x	0	0	0	1
R3DN30N	3	10	0.6519444444444444	3
Dabbad302	0	45	0.5411111111111111	4
vzburrito	2	46	0.2972222222222222	4
Rhalyon	187	17380	504.88222222222225	827
crazedpenguin69	2	4	0.5272222222222223	2
SkyDoesOP	0	1	0.03777777777777778	4
_guy12	0	6	0.22361111111111112	2
ephemeral886	0	5	0.3686111111111111	2
AsherMaxwell	0	2	0.007222222222222222	2
Kurandur	0	0	0.10944444444444444	2
DerekTheUnicorn	21	557	46.21666666666667	48
TrustMeImDr13	0	0	0	1
MRdeadwolf	45	401	52.141666666666666	90
srpokemon	0	4	0.025	2
Esnorie	0	1	1.3294444444444444	2
skatercasper	1	2	0.08777777777777777	3
sheepster100	10	236	9.53	14
TheAsianTie	1	1	0.09277777777777776	5
itank97	0	5	1.0605555555555555	3
khuzbuzd	0	1	0	0
Fly1ngP4nd4	25	143	49.63194444444445	33
KRIS923x	0	18	0.09333333333333332	3
Atrix_Rixu	0	0	0.009444444444444445	2
hipporunner_	0	2	0.065	2
Urbanned34	0	6	0.03277777777777778	2
CaptainH0b0	0	3	0.004722222222222222	2
Hunterbu666	1	88	1.9377777777777778	7
CMYKitten	0	1	0.0625	2
FlipinGorillas	0	11	0.12416666666666668	6
DiverDan84	11	58	3.2636111111111115	9
Rodrigues1	4	5	3.0463888888888895	15
chofbri	0	4	0.19972222222222222	2
6stringJosh	0	16	0.9072222222222222	3
bendude2	0	5	0.5516666666666667	3
austinyb	6	288	16.958611111111118	45
DantheHERO	43	222	26.439722222222223	37
dewblackio	0	1	0.03194444444444444	2
XWolfDogX	3	490	104.10000000000001	151
greenzebra_	1	17	0.15388888888888888	2
PlanetVortexPvP	2	7	0.06416666666666666	3
bonboysE5D3	13	73	2.133888888888889	4
TooLegit2Quit17	1	1	0.2577777777777778	3
Quilinus	12	61	21.017500000000002	11
Debatableflea	1	1	0.19277777777777777	4
InsertEpicHere	10	2	1.4436111111111112	8
ShadowStriker_	0	3	0.03638888888888889	2
teddochi	0	3	0.029166666666666667	2
MultiThreader	1	2	0.04888888888888889	2
RockRevenchy	0	0	0.0011111111111111111	2
blakeydog2	0	0	0.49527777777777776	2
Ruve	0	1	0.6277777777777778	2
CameronHH	0	0	0.0008333333333333333	5
eoineoineoin	6	1	1.4075	6
Fischerman64	2	26	1.5091666666666668	11
DiaboLex	0	5	0.2313888888888889	2
xBingmyskillzx	17	79	9.819166666666666	40
Nwg416	0	1	0.020555555555555556	2
Tylar	0	2	0.11666666666666667	2
readthisusername	0	61	0.3977777777777778	3
DougL227	0	5	0.34805555555555556	5
souldevil1238	1	0	0.2605555555555556	3
bdrummerj	1	2	0.04777777777777778	2
MaStErBlAdE	1	11	0.2325	2
Tombel3	0	6	0.1963888888888889	5
sammysouu	3	1	0.23027777777777778	4
Hymeroptera	0	1	0.03194444444444444	2
II_HyperIceHD_II	1	12	0.21833333333333332	5
JarlUlfric	0	0	0.1075	2
minime123789	6	18	2.955833333333334	13
mrschnabel	1	2	0.5847222222222221	6
Laughtrey	1	2	0.9738888888888889	3
EAGLEEYE622	0	12	0.08527777777777777	2
EndermanStan	0	1	0.051111111111111114	2
Diddy_Cube	0	1	0.0077777777777777776	2
BornoBob	0	1	0.04555555555555556	2
CrazyWonderBread	2	11	3.0594444444444444	5
moomooman09	0	4	0.05361111111111111	2
Piggy22	0	2	0.1325	4
dominsbeard	0	4	0.3447222222222222	4
TPPW79	1	5	0.305	2
champwamp	5	190	47.769999999999996	56
kray0ns	0	6	0.18861111111111112	2
CakeNate	1	110	7.078333333333332	24
Lachienoonoo12	0	0	0.31083333333333335	2
Flying_Lemur_00	4	0	0.5869444444444445	3
zombiexxx1000	0	28	0.21416666666666667	8
NightlockWolf	8	2	1.3758333333333332	7
asadawarf	1	8	1.1730555555555555	3
kmartinez1999	1	4	0.0675	2
MarSkillZ	0	8	1.0541666666666667	2
epicface7928	0	0	0.009444444444444445	2
ballislife99801	0	0	0.05527777777777778	2
Gurdon_Friemun	0	19	0.4747222222222222	4
THECATGRINDER	2	23	0.35194444444444445	2
xHippo	1	3	0.041388888888888885	3
RainingKookiez	0	8	0.31416666666666665	2
HornyYogaMaster	0	6	0.15444444444444444	10
fallout3333	0	27	0.20444444444444446	2
meme18892	0	5	0.10444444444444445	3
micke1990	1	3	1.1594444444444445	2
icewolf508	0	2	0.22027777777777777	2
Dragonburn7474	0	3	0.04833333333333333	2
Devon4tor	2	121	3.2224999999999997	6
EvanT0408	3	9	2.2880555555555553	4
etlam1	2	0	0.6108333333333333	3
Butt_bag_big_poo	0	0	0	1
erikkung12	0	0	0.05138888888888889	2
CoolRaids	0	0	0	1
xXFrega007Xx	2	3	0.13472222222222222	3
prestonlwood	1	14	0.6425000000000001	6
phairyson	1	299	4.845555555555555	8
dragono3287	0	0	0.01861111111111111	2
kanicc	0	0	0.06888888888888889	2
Kurpus	9	607	12.680833333333334	47
DauntlessRebel4	0	2	0.06666666666666667	2
DetroitTigers	0	3	0.03916666666666667	2
zach_mine_101	0	1	0.017777777777777778	2
bobby511	0	3	0.2061111111111111	2
CovertOddity	0	1	0.0375	2
huxy678	2	0	0.16805555555555557	2
Butterbacon16	0	0	0.08472222222222223	2
Chaosgrad	0	0	0.03833333333333333	2
Glowin147	4	16	1.7197222222222222	10
InfinityElite	0	6	0.07111111111111111	2
Draeren	13	1238	16.56833333333333	28
01helloworld01	0	0	0.7769444444444444	3
Static_1	3	5	1.1758333333333335	9
poopoostinkybum	0	12	0.9205555555555556	3
MareBare2003	1	5	2.397777777777778	5
Crafter_Brad	0	1	0.01138888888888889	2
Phlegmatik	0	1	0.08333333333333334	3
Barzel1	1	0	0.23972222222222223	2
yeff3	1	1	0.16861111111111113	3
Balmonte	2	0	0.15055555555555555	2
Burstburst0	0	1	0.008888888888888889	2
heidiflynn09	0	2	0.04055555555555555	3
apetrisor7	10	318	21.249999999999996	43
FuriousMage	0	10	0.10527777777777778	3
raikin	0	0	0.4083333333333333	2
greif_pro109	1	49	0.3611111111111111	7
Videl77	0	1	0.02861111111111111	2
thecabage	30	849	74.02694444444444	206
sharkmancd	2	10	0.7777777777777777	4
Sspamer64	13	360	21.811944444444443	22
Bat_Manatee	3	43	9.045277777777779	10
aerbourne	0	2	0.18805555555555556	2
zrayzman	0	0	0.024166666666666666	2
landofpizza	0	0	0.06777777777777777	3
Bubbleman10101	0	9	0.18611111111111112	2
MEAT_WHISTLE	0	1	0.07111111111111111	2
Qazver	11	73	2.1091666666666664	19
polardude123	3	11	1.1033333333333333	5
Faulkyou	0	0	0.05638888888888889	3
chris11302	0	9	0.44499999999999995	4
Endtro	4	5	1.0133333333333334	2
datamosher	1	3	0.1527777777777778	2
TowerOfCans	0	2	0.095	2
MrAMinecraft	29	101	23.532499999999995	60
buttholewrecker	0	0	0	1
NationsPt	1	3	0.23916666666666667	2
mrthorp	0	6	0.42333333333333334	4
TheHorizonWalker	0	6	0.06777777777777778	2
nikolas124	14	679	45.914166666666674	58
AquilaPVP	1	17	0.19333333333333333	6
altarianite	0	0	0.026944444444444444	3
yobreezy	14	3	18.21444444444444	35
raichu15266	11	22	2.1569444444444446	6
Absatootly	6	11	5.8355555555555565	13
Xyr3siC	0	15	0.2683333333333333	5
NATION6758	3	29	2.3113888888888887	5
Geirthjof	0	0	0	1
elykl	2	11	0.6169444444444444	5
raahul5	0	2	0.0225	2
try0003	10	291	19.421666666666667	26
Dralug	0	3	0.35055555555555556	2
mxdude95	1	7	0.07333333333333333	2
AndroidTechnix	28	134	9.640000000000002	26
jugglerwill	0	6	0.05972222222222222	4
huang_a	0	2	0.23027777777777778	2
bcasey99	0	0	0.01888888888888889	2
HauntedCombos	11	33	4.0297222222222215	15
Rupert100	0	2	0.021111111111111112	2
thebeatles13	2	8	0.12472222222222222	2
TacoPlayzYT	0	8	0.39	2
mojo78901	5	362	12.476388888888888	13
tgspectre	0	0	0.010833333333333334	2
chellybean1223	0	8	0.3819444444444444	3
8379750	0	1	0.16166666666666665	2
graysher47	1	20	0.24472222222222223	2
Maximum12	0	3	0.27499999999999997	4
123sgt	13	165	10.755555555555558	13
Stud158	54	3281	68.71388888888887	116
Steve32123	26	234	35.52	98
Duke_Bilgewater	0	0	0.017777777777777778	2
Doctor675	35	696	36.052499999999995	58
Oldgen	0	2	0.006666666666666667	2
FlamingStickGuy	0	5	0.7755555555555556	3
metaphor20	54	183	39.45250000000001	47
Azilmak	3	98	12.411388888888885	19
PinoyFighta	88	3518	121.76916666666668	194
dubsdutchies	0	2	0.0636111111111111	2
MiniMeCookies	0	2	0.026944444444444444	2
DreamerHD	0	0	0.005	3
fthuo12	0	20	0.30083333333333334	2
caoimhin10	0	1	0.02277777777777778	2
pson8	0	0	0.055	2
Champatriot	206	5077	290.96833333333325	340
supaaboy	8	11	0.19111111111111112	3
Justin1311	0	1	0.03222222222222222	3
6olgari	0	1	0.003611111111111111	2
Xaive	96	4419	92.5858333333333	119
evan_s	2	1	0.10444444444444445	2
RabidSasquatch0	0	0	0.09083333333333334	2
PIxelsx2	3	2	0.4386111111111111	4
_gatopardt_	3	16	0.3005555555555555	4
jagpag	0	5	0.05	2
PorKNinjA98	2	2	0.4086111111111111	4
Pichuman126	11	80	2.9169444444444443	11
Damanta	1	3	0.5313888888888889	3
ShadowDusky	1	97	1.0133333333333332	6
xXLoohooXx	0	1	0.1375	3
inklesspen	0	11	0.8991666666666667	2
caboosewashere	9	855	98.35361111111119	162
GEEoN3	0	5	1.1527777777777777	3
M10R	0	1	1.813611111111111	9
Gamingandreview	0	6	0.08694444444444445	2
DwarvenMind	120	1804	111.22361111111115	138
teentech101	0	3	0.06	2
TechnicalJob	0	0	0.009444444444444445	2
pcjames	0	1	0.06305555555555556	2
923mop	0	1	0.1	2
ArchEnemy91	0	1	0.2427777777777778	2
ultra_craftsman	0	0	0.028333333333333332	2
Master_Rave1029	16	232	10.110555555555555	10
creeper127127	5	300	9.63111111111111	17
mattdorman	2	2174	49.6013888888889	128
jacktaylor8	0	1	0.0125	2
anus_avenger	0	8	0.09972222222222223	2
BridgeDweller	6	122	7.034166666666668	21
chrisjk7	0	0	0.10111111111111111	3
pmannion	0	2	0.005277777777777778	3
thedeluxful	3	16	5.204722222222222	17
Longey98	0	0	0.004166666666666667	2
TeddyBean	0	0	0.0225	2
killerguy753	1	5	0.03944444444444444	2
SKMDZ	0	1	0.03833333333333333	2
Alejandro72463	2	21	4.120833333333334	4
ninlef	0	0	0.09722222222222222	2
tlcarter2012	16	692	28.323055555555555	73
TwoAM	1	2	3.2847222222222214	8
FailRecruit	0	0	0.0025	2
Bounding_Raccoon	10	305	13.676944444444446	33
2lalo	1	11	0.11388888888888887	5
v_gamer1262	0	0	0.008611111111111111	2
MathosianTech	0	8	0.1875	2
teamavorocks	0	4	0.03861111111111111	2
xxmadbearxx	0	0	0.03222222222222222	2
OFFLINEPLAY	2	9	0.40638888888888886	3
Pikaforce64	0	1	0.6130555555555555	4
gubzy	62	406	34.64083333333332	116
Sparatan	3	25	1.2569444444444444	5
Katantunoro	0	40	0.7272222222222222	4
ilCek93	0	24	0.26055555555555554	5
katiedoo	0	0	0.20055555555555554	3
longhead77	4	170	17.355000000000004	30
Lulzado	0	20	0.4027777777777778	3
AraneaeDiscordia	0	10	0.19972222222222225	3
kandyz	0	0	0.07111111111111111	3
hairysnotter	5	161	3.4777777777777783	12
DavUx1	13	133	5.898611111111111	22
MLGPro1x1	0	16	0.5169444444444444	5
Razerblade_13	3	2	0.26916666666666667	3
TechnikerKun	1	251	31.856666666666662	66
POOP_AND_POOP	86	1684	72.56250000000003	90
loverofkitties	0	2	0.3163888888888889	2
Frostfire999	12	36	7.691944444444444	8
smitskoen	9	4	2.0538888888888884	5
macus16	0	0	0.043333333333333335	2
Turtles_Dank_OG	1	37	0.45	11
thumbtoe	0	3	0.042499999999999996	3
Jembaria	2	5	0.535	2
soap_foot	12	223	2.4924999999999997	7
Narutoe	0	2	0.06166666666666667	3
I_Am_Throat	20	437	41.03388888888891	58
omfgitszach	0	4	0.37833333333333335	2
rawrman94	2	35	1.2316666666666667	2
ThijmenB09	0	2	0.0636111111111111	2
Zock3rfr3akLP	0	5	0.25305555555555553	2
Dramlx	312	7412	183.0247222222221	130
gameboyrock1	2	0	1.2408333333333335	4
Flameoguy	0	10	0.034722222222222224	2
terminator51229	0	1	0.2088888888888889	2
DiscoLumberjack	0	1	0.26361111111111113	2
Trogarth33455	96	287	119.64500000000004	84
Rawkost	0	1	0.11861111111111111	3
MineBlox999	0	3	0.008888888888888889	2
silentspy1997	0	3	0.018055555555555554	2
ChoasToMayhem	0	39	0.39611111111111114	2
kagefal	1	3	0.5208333333333334	2
MiningYoo	3	23	1.1652777777777776	3
A_Sexy_Seal	0	2	0.0077777777777777776	3
Biz_Daretz	4	141	3.230833333333333	3
Revtarget	2	6	4.389444444444444	5
liteblack	27	155	15.490555555555556	12
Rarxrar	0	2	0.05527777777777778	2
theopenbox	0	2	0.043333333333333335	2
eveandducks27	0	0	0.002777777777777778	2
Rykunrykun	45	6948	791.2199999999999	153
mineheller	0	0	0.005277777777777778	2
herobrine519	5	41	0.32666666666666666	2
Deqagon	0	2	0.03388888888888889	2
Np0015	0	0	0.03388888888888889	2
Private_Practice	4	9	0.11777777777777777	5
